rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,ASIK Mustafa,TUR,"Born: Jan 05, 1989",B.weight: 59.33,Group: B,1: 85,2: -90,3: 90,Total: 90,62kgMen,Snatch,120
Rank: ---,ASIK Mustafa,TUR,"Born: Jan 05, 1989",B.weight: 59.33,Group: B,1: 110,2: 115,3: 118,Total: 118,62kgMen,CleanJerk,120
Rank: 1,ASIK Mustafa,TUR,"Born: Jan 05, 1989",B.weight: 59.33,Group: B,Snatch: 90,CI&Jerk: 118,Total: 208,,62kgMen,Total,120
Rank: ---,GRECH Clint,MLT,"Born: Apr 11, 1987",B.weight: 68.22,Group: A,1: -86,2: 86,3: -90,Total: 86,69kgMen,Snatch,120
Rank: ---,CAMILLERI Emmanuel,MLT,"Born: May 13, 1970",B.weight: 62.24,Group: B,1: 70,2: -73,3: 73,Total: 73,69kgMen,Snatch,120
Rank: ---,KARATSAOUSIDIS Giannis,CYP,"Born: Jul 02, 1997",B.weight: 64.70,Group: B,1: 43,2: 48,3: -50,Total: 48,69kgMen,Snatch,120
Rank: ---,AGIUS Ryan,MLT,"Born: Mar 04, 1990",B.weight: 64.84,Group: B,1: 69,2: 72,3: -75,Total: 72,69kgMen,Snatch,120
Rank: ---,SCAGLIA Rosario,ITA,"Born: Jul 27, 1994",B.weight: 68.78,Group: B,1: -95,2: -95,3: 95,Total: 95,69kgMen,Snatch,120
Rank: ---,GRECH Clint,MLT,"Born: Apr 11, 1987",B.weight: 68.22,Group: A,1: 107,2: -112,3: -112,Total: 107,69kgMen,CleanJerk,120
Rank: ---,CAMILLERI Emmanuel,MLT,"Born: May 13, 1970",B.weight: 62.24,Group: B,1: 83,2: 87,3: 90,Total: 90,69kgMen,CleanJerk,120
Rank: ---,KARATSAOUSIDIS Giannis,CYP,"Born: Jul 02, 1997",B.weight: 64.70,Group: B,1: 53,2: 58,3: 60,Total: 60,69kgMen,CleanJerk,120
Rank: ---,AGIUS Ryan,MLT,"Born: Mar 04, 1990",B.weight: 64.84,Group: B,1: 85,2: 90,3: -95,Total: 90,69kgMen,CleanJerk,120
Rank: ---,SCAGLIA Rosario,ITA,"Born: Jul 27, 1994",B.weight: 68.78,Group: B,1: 120,2: 125,3: -130,Total: 125,69kgMen,CleanJerk,120
Rank: 1,SCAGLIA Rosario,ITA,"Born: Jul 27, 1994",B.weight: 68.78,Group: B,Snatch: 95,CI&Jerk: 125,Total: 220,,69kgMen,Total,120
Rank: 2,GRECH Clint,MLT,"Born: Apr 11, 1987",B.weight: 68.22,Group: A,Snatch: 86,CI&Jerk: 107,Total: 193,,69kgMen,Total,120
Rank: 3,CAMILLERI Emmanuel,MLT,"Born: May 13, 1970",B.weight: 62.24,Group: B,Snatch: 73,CI&Jerk: 90,Total: 163,,69kgMen,Total,120
Rank: 4,AGIUS Ryan,MLT,"Born: Mar 04, 1990",B.weight: 64.84,Group: B,Snatch: 72,CI&Jerk: 90,Total: 162,,69kgMen,Total,120
Rank: 5,KARATSAOUSIDIS Giannis,CYP,"Born: Jul 02, 1997",B.weight: 64.70,Group: B,Snatch: 48,CI&Jerk: 60,Total: 108,,69kgMen,Total,120
Rank: ---,PULIS Rodmar,MLT,"Born: Sep 29, 1994",B.weight: 76.10,Group: B,1: 72,2: 76,3: -80,Total: 76,77kgMen,Snatch,120
Rank: ---,AMANATIDIS Alexandros,CYP,"Born: May 12, 1987",B.weight: 76.38,Group: A,1: -125,2: -125,3: 125,Total: 125,77kgMen,Snatch,120
Rank: ---,ORESEK Jernej,SLO,"Born: Sep 11, 1990",B.weight: 76.96,Group: A,1: 102,2: 110,3: -113,Total: 110,77kgMen,Snatch,120
