total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,ALEKSANYAN Ruben,667,1990-03-14,29.6,M,ARM,A,154.55,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,180,-190,NA,180,231,NA,NA,231,411
2,1,2,MINASYAN Gor,10136,1994-10-25,25,M,ARM,A,147.85,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,190,-195,NA,190,210,220,NA,220,410
3,3,3,SAVCHUK Antoniy,13817,1995-11-20,23.9,M,RUS,A,137.8,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,165,170,-175,170,205,210,NA,210,380
4,4,4,ZIAZIULIN Eduard,17077,1998-10-29,21,M,BLR,A,136.8,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,140,NA,NA,140,170,NA,NA,170,310
NA,NA,NA,TALAKHADZE Lasha,15079,1993-10-02,26.1,M,GEO,A,163.65,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ARAMNAU Andrei,1215,1988-04-17,31.5,M,BLR,A,112.7,+109 kg Men,0,0,487,Alexander Cup,2019-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,ZHOU Xiaoman,17053,1992-09-23,27.1,W,CHN,A,157.45,+87 kg Women,0,0,487,Alexander Cup,2019-11-01,122,127,132,132,160,165,-170,165,297
2,2,2,LYSENKO Anastasiia,9219,1995-12-02,23.9,W,UKR,A,101.35,+87 kg Women,0,0,487,Alexander Cup,2019-11-01,120,-123,123,123,140,147,152,152,275
3,3,3,JIA Weipeng,6962,1995-08-08,24.2,W,CHN,A,88.38,+87 kg Women,0,0,487,Alexander Cup,2019-11-01,100,-105,-105,100,120,125,130,130,230
1,1,1,TIAN Fuxuan,15335,1993-08-16,26.2,M,CHN,A,99.85,102 kg Men,0,0,487,Alexander Cup,2019-11-01,165,170,175,175,205,210,-215,210,385
