total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,BIZAMA CONEJERO Alonso Javier,NA,2004-11-10,NA,NA,A,+102 kg Men,0,0,523,113,118,120,120,140,151,157,157,277
2,2,2,RODRIGUEZ GARCIA Luis Angel,NA,2004-04-28,NA,NA,A,+102 kg Men,0,0,523,-114,114,119,119,150,153,-159,153,272
3,3,3,CABRERA HERRERA Hector Enrique,NA,2004-07-13,NA,NA,A,+102 kg Men,0,0,523,85,91,95,95,115,122,-126,122,217
1,1,1,GONZALEZ Mia,NA,2004-08-12,NA,NA,A,+81 kg Women,0,0,523,91,94,97,97,120,124,-128,124,221
2,2,2,JUSTINO DE LIMA Taiane,NA,2004-02-16,NA,NA,A,+81 kg Women,0,0,523,90,-93,94,94,115,120,-125,120,214
3,4,3,SARRIA Marifelix,NA,2004-08-25,NA,NA,A,+81 kg Women,0,0,523,90,-94,-94,90,116,-121,-121,116,206
4,3,4,ROBLES Denise Amanda,NA,2004-07-29,NA,NA,A,+81 kg Women,0,0,523,89,93,-95,93,106,110,113,113,206
5,5,5,PAVEZ MIRANDA Arantzazu,NA,2004-11-23,NA,NA,A,+81 kg Women,0,0,523,-88,-88,88,88,105,110,-117,110,198
6,6,6,BILLEN Angel,NA,2007-09-17,NA,NA,A,+81 kg Women,0,0,523,75,79,-82,79,96,101,-105,101,180
7,7,7,SINTJACOBA Farelies,NA,2005-11-10,NA,NA,A,+81 kg Women,0,0,523,51,54,58,58,61,64,-67,64,122
1,1,1,DIAZ Daniel,NA,2004-02-10,NA,NA,A,102 kg Men,0,0,523,125,135,-143,135,-160,160,175,175,310
2,3,2,CISTERNA Joaquin,NA,2004-01-14,NA,NA,A,102 kg Men,0,0,523,103,-113,113,113,120,132,141,141,254
3,2,4,CABRERA FACIO Antonio Manuel,NA,2004-07-04,NA,NA,A,102 kg Men,0,0,523,115,-120,-120,115,128,134,138,138,253
4,4,3,KAU HAA HAA Hanale Nalunui,NA,2005-10-17,NA,NA,A,102 kg Men,0,0,523,-97,97,-102,97,131,137,139,139,236
1,1,1,ESTRADA VELEZ Lawren Sofia,NA,2007-01-06,NA,NA,A,40 kg Women,0,0,523,46,49,52,52,62,65,67,67,119
2,2,3,CANTO COLLI Darly Marely,NA,2007-06-27,NA,NA,A,40 kg Women,0,0,523,45,48,51,51,60,64,-67,64,115
3,3,4,FLORES VIDAL Josefa Isabel,NA,2008-05-30,NA,NA,A,40 kg Women,0,0,523,25,28,-30,28,40,44,47,47,75
NA,NA,2,LOPEZ LEDEZMA Alexandra Yamileth,NA,2007-06-20,NA,NA,A,40 kg Women,0,0,523,-50,-50,-50,NA,60,-65,65,65,NA
NA,NA,1,COSTA Andjelina Cherry,NA,2007-09-24,NA,NA,A,45 kg Women,0,0,523,-48,-48,-48,NA,50,60,65,65,NA
1,1,1,YEPEZ PENATE Kevin David,NA,2004-11-18,NA,NA,A,49 kg Men,0,0,523,75,-80,-80,75,95,100,105,105,180
2,2,3,SEVERINO JIMENEZ Brayan Kenhheimer,NA,2004-09-01,NA,NA,A,49 kg Men,0,0,523,66,68,71,71,85,-90,90,90,161
3,3,2,LOCKWOOD Logan Aron,NA,2006-09-10,NA,NA,A,49 kg Men,0,0,523,65,67,70,70,90,-93,-93,90,160
1,1,1,LOPEZ ALVAREZ Karoll Dahyanne,NA,2004-01-15,NA,NA,A,49 kg Women,0,0,523,67,72,-74,72,85,-90,-90,85,157
2,3,2,OLIVARES GOMEZ Ana Paula,NA,2006-04-27,NA,NA,A,49 kg Women,0,0,523,55,58,-60,58,75,-78,-78,75,133
3,2,3,MORALES HIDALGO Nataly,NA,2004-08-20,NA,NA,A,49 kg Women,0,0,523,54,58,-61,58,67,71,-76,71,129
4,4,4,"NANTZ Jordan Lea",NA,2006-08-13,NA,NA,A,49 kg Women,0,0,523,50,-53,53,53,-60,60,63,63,116
1,2,1,TUN DZIB Adolfo Angel,NA,2004-09-23,NA,NA,A,55 kg Men,0,0,523,88,-92,-93,88,119,126,130,130,218
2,1,2,EK NOH Irving Josue,NA,2004-09-03,NA,NA,A,55 kg Men,0,0,523,89,-93,93,93,113,-119,-121,113,206
3,3,4,RIOS CHUMBE Nol Jermis,NA,2004-08-21,NA,NA,A,55 kg Men,0,0,523,83,86,88,88,100,105,108,108,196
4,4,3,GONZALEZ MARMOLEJO Jose Eder,NA,2004-02-19,NA,NA,A,55 kg Men,0,0,523,-82,82,87,87,105,108,-110,108,195
5,5,5,LONDONO RAMIREZ Andres Felipe,NA,2006-05-17,NA,NA,A,55 kg Men,0,0,523,72,76,79,79,93,96,100,100,179
1,1,1,ESTEP Emily Katharine,NA,2004-08-18,NA,NA,A,55 kg Women,0,0,523,78,81,-84,81,97,102,-0,102,183
2,3,2,BRYANT Kaiya Lashay,NA,2005-02-11,NA,NA,A,55 kg Women,0,0,523,67,70,74,74,87,92,95,95,169
3,2,4,LEON PEREZ Ximena Fernanda,NA,2004-09-11,NA,NA,A,55 kg Women,0,0,523,72,75,77,77,91,-95,-96,91,168
4,4,6,SIMONEAU Charlotte,NA,2005-05-30,NA,NA,A,55 kg Women,0,0,523,70,73,-75,73,90,-94,-94,90,163
5,6,3,TORRES Karina,NA,2005-04-26,NA,NA,A,55 kg Women,0,0,523,68,70,-72,70,88,91,93,93,163
6,5,5,VIEIRA RODRIGUES Julia,NA,2004-05-17,NA,NA,A,55 kg Women,0,0,523,-68,68,71,71,88,91,-94,91,162
7,9,7,TORRES GOMEZ Gelen Yulieth,NA,2006-02-14,NA,NA,A,55 kg Women,0,0,523,-67,67,-70,67,80,84,87,87,154
8,8,8,ANDRADE ALMAGUER Vanessa Del Carmen,NA,2006-07-03,NA,NA,A,55 kg Women,0,0,523,65,68,-70,68,83,-85,85,85,153
9,7,10,SOLANO FLOREZ Jeissy Jarielly,NA,2006-09-25,NA,NA,A,55 kg Women,0,0,523,66,69,70,70,-80,80,82,82,152
10,10,9,AGRAIT Issi,NA,2004-12-21,NA,NA,A,55 kg Women,0,0,523,64,67,-70,67,80,83,-85,83,150
11,11,11,CALIXTO PALACIO Jacqueline Alexa,NA,2005-07-31,NA,NA,A,55 kg Women,0,0,523,64,-69,-69,64,-77,77,-82,77,141
12,12,12,DIAZ ALVARADO Adriana Karina,NA,2005-05-10,NA,NA,A,55 kg Women,0,0,523,40,-45,-45,40,50,55,-57,55,95
1,1,1,SINISTERRA ANGULO Dubaney,NA,2005-06-24,NA,NA,A,59 kg Women,0,0,523,73,75,78,78,93,97,-100,97,175
2,3,2,CARVAJAL NARVAEZ Barbara Lizbeth,NA,2005-04-04,NA,NA,A,59 kg Women,0,0,523,68,-71,71,71,91,96,-98,96,167
3,2,3,PALACIOS DAJOME Jessica Isabel,NA,2006-01-03,NA,NA,A,59 kg Women,0,0,523,-71,71,74,74,-88,88,-94,88,162
4,4,4,NUNEZ SOLIS Paola Elizabeth,NA,2005-08-30,NA,NA,A,59 kg Women,0,0,523,-68,68,71,71,83,86,-90,86,157
5,6,5,FERNANDEZ MORI Jamile Sofia,NA,2004-04-24,NA,NA,A,59 kg Women,0,0,523,64,67,-69,67,-80,80,83,83,150
6,5,6,ANDRAS Maria Elena,NA,2006-04-30,NA,NA,A,59 kg Women,0,0,523,67,-70,-70,67,75,-80,-80,75,142
7,7,7,"NAVARRO SANTANA Natalia Edith",NA,2004-04-20,NA,NA,A,59 kg Women,0,0,523,50,57,-62,57,64,-70,-70,64,121
1,1,1,CARRAZCO CETZ Herseleid Antonio,NA,2004-06-10,NA,NA,A,61 kg Men,0,0,523,112,117,-122,117,-142,-142,142,142,259
2,2,2,CHUC COUOH Victor Manuel,NA,2004-06-20,NA,NA,A,61 kg Men,0,0,523,-95,95,98,98,-121,124,127,127,225
3,3,3,POLVERINI Dominik Anthony,NA,2004-04-16,NA,NA,A,61 kg Men,0,0,523,89,92,-95,92,118,122,-125,122,214
4,4,4,ADANAQUE SANDOVAL Juan Jose,NA,2004-03-10,NA,NA,A,61 kg Men,0,0,523,-92,92,-95,92,-115,117,-121,117,209
5,5,5,CAMARGO MESA Yoverman De Jesus,NA,2006-01-25,NA,NA,A,61 kg Men,0,0,523,82,85,88,88,98,103,106,106,194
1,1,1,SEGURA GRUESO Ingrid Vanesa,NA,2006-06-29,NA,NA,A,64 kg Women,0,0,523,82,86,-89,86,102,NA,NA,102,188
2,2,2,TRINH Haley C,NA,2004-09-08,NA,NA,A,64 kg Women,0,0,523,72,76,-79,76,95,100,-105,100,176
3,3,3,PAREDES VASQUEZ Jheysi Dayana,NA,2006-06-17,NA,NA,A,64 kg Women,0,0,523,60,63,65,65,78,82,-84,82,147
1,1,1,RODRIGUEZ GARZA Ivan Rafael,NA,2006-04-07,NA,NA,A,67 kg Men,0,0,523,100,-105,105,105,130,-134,NA,130,235
2,2,2,DOYLE Gustavo,NA,2004-01-14,NA,NA,A,67 kg Men,0,0,523,85,92,97,97,115,120,125,125,222
3,3,3,PEREZ DAVILA Caleb,NA,2004-04-05,NA,NA,A,67 kg Men,0,0,523,73,79,-83,79,94,101,-105,101,180
4,4,4,MEDINA HERNANDEZ Denzel,NA,2004-02-07,NA,NA,A,67 kg Men,0,0,523,-70,70,-74,70,-86,86,91,91,161
1,2,1,CANDELARIO Grace,NA,2004-03-21,NA,NA,A,71 kg Women,0,0,523,82,85,87,87,101,104,106,106,193
2,1,2,FAZIO Amber Nicole,NA,2004-04-11,NA,NA,A,71 kg Women,0,0,523,84,87,-90,87,-101,101,105,105,192
3,3,3,RHODES Mia Deleslyn,NA,2005-06-27,NA,NA,A,71 kg Women,0,0,523,83,86,-88,86,100,-103,104,104,190
4,4,4,CERQUERA MONTOYA Ivanna Gabriela,NA,2006-01-27,NA,NA,A,71 kg Women,0,0,523,-77,77,-81,77,93,100,-104,100,177
5,6,5,RIVERA RIVERA Jomayra,NA,2005-02-04,NA,NA,A,71 kg Women,0,0,523,-50,50,55,55,70,75,-80,75,130
1,1,2,MARMANILLO LAZO Frank Josue,14708,2004-01-15,M,PER,A,73 kg Men,0,0,523,114,118,120,120,138,-141,141,141,261
2,3,4,DE LEON NINO Cristian,NA,2004-11-02,NA,NA,A,73 kg Men,0,0,523,108,111,-113,111,133,136,-139,136,247
3,6,3,SANCHEZ Ian,NA,2004-03-27,NA,NA,A,73 kg Men,0,0,523,-107,-107,107,107,130,138,-141,138,245
4,4,5,IBARGUEN CAMILO Juan David,NA,2004-08-06,NA,NA,A,73 kg Men,0,0,523,105,-109,109,109,135,-139,-140,135,244
5,2,6,BENITEZ GRUESO Maycol David,NA,2004-03-26,NA,NA,A,73 kg Men,0,0,523,103,108,112,112,126,131,-135,131,243
6,5,7,IBANEZ GUERRERO Brayan,NA,2006-09-18,NA,NA,A,73 kg Men,0,0,523,104,-107,107,107,120,-123,125,125,232
NA,NA,1,MEDINA PINZON Jorge Luis,NA,2004-06-08,NA,NA,A,73 kg Men,0,0,523,-118,-119,-119,NA,-137,137,142,142,NA
1,1,1,BALLARD Alyssa Marie,NA,2004-08-18,NA,NA,A,76 kg Women,0,0,523,82,84,86,86,104,107,112,112,198
2,2,3,CRUZ HERNANDEZ Angeles,NA,2004-08-15,NA,NA,A,76 kg Women,0,0,523,-83,83,85,85,103,107,-109,107,192
3,3,2,ESPINOZA URESTI Estefany,NA,2005-09-18,NA,NA,A,76 kg Women,0,0,523,-78,78,-83,78,102,105,108,108,186
4,4,4,CAICEDO HURTADO Sara Sofia,NA,2005-07-22,NA,NA,A,76 kg Women,0,0,523,70,-74,-74,70,90,93,-96,93,163
1,1,1,GUADAMUD PICO Juan David,NA,2004-06-24,NA,NA,A,81 kg Men,0,0,523,135,142,146,146,165,173,-180,173,319
2,2,2,LOPEZ Yomar,NA,2004-11-20,NA,NA,A,81 kg Men,0,0,523,107,110,-115,110,122,128,132,132,242
3,3,3,PRICE Keontay Thomas,NA,2004-10-19,NA,NA,A,81 kg Men,0,0,523,100,105,108,108,120,125,131,131,239
4,4,4,DIAZ SANTANA Najib Gabriel,NA,2004-12-14,NA,NA,A,81 kg Men,0,0,523,93,-98,-101,93,-113,113,118,118,211
5,5,5,DORAN Anellyson,NA,2004-12-15,NA,NA,A,81 kg Men,0,0,523,88,93,-98,93,-108,111,-118,111,204
1,1,1,RUIZ CRUZ Valeria,NA,2004-04-19,NA,NA,A,81 kg Women,0,0,523,80,84,-86,84,100,104,-107,104,188
2,2,2,HURTADO PANTOJA Alexandra,NA,2004-12-09,NA,NA,A,81 kg Women,0,0,523,-73,73,-75,73,85,90,94,94,167
3,3,3,PALOMINOS REYES Antonia Alejandra,NA,2006-05-26,NA,NA,A,81 kg Women,0,0,523,55,60,63,63,-65,65,70,70,133
1,1,1,GUANCHE MENDEZ Ignacio Vicente,NA,2004-10-24,NA,NA,A,89 kg Men,0,0,523,120,123,126,126,145,150,154,154,280
2,2,3,DIAZ CANGA Luis Alfredo,NA,2004-05-10,NA,NA,A,89 kg Men,0,0,523,113,119,121,121,145,151,-155,151,272
