total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,LAGIKULA Petelo Sanele Ireneo,8942,1995-06-07,M,NCL,A,109,+105 kg Men,0,1,293,138,-142,-142,138,172,-176,-176,172,310
2,3,3,SITAGATA Malaki Atonio Jr.,11844,1999-04-11,M,ASA,A,110.95,+105 kg Men,0,1,293,85,92,98,98,115,119,122,122,220
3,4,2,TAUHOLA Soane,9634,1996-05-25,M,WLF,A,130.5,+105 kg Men,0,1,293,85,-90,-95,85,115,125,-132,125,210
4,2,4,MALANI Wilisoni Tuiketei,11560,1998-11-18,M,FIJ,A,120.8,+105 kg Men,0,1,293,87,92,99,99,110,-116,-116,110,209
1,1,1,HARRY Lorraine Henao,9443,1996-02-20,W,PNG,A,82.6,+75 kg Women,0,1,293,70,-80,80,80,90,-100,100,100,180
2,2,2,TALO Orepa Rosery,11850,1999-04-12,W,ASA,A,111.25,+75 kg Women,0,1,293,65,70,78,78,80,85,90,90,168
3,3,3,TAUASI Vitolia Rose Chaynal,10835,1997-12-15,W,NIU,A,95.9,+75 kg Women,0,1,293,52,57,62,62,70,75,-80,75,137
1,1,1,REXRICCO Melekitama,8760,1995-03-06,M,NIU,A,102.95,105 kg Men,0,1,293,85,90,95,95,110,116,122,122,217
1,1,1,TIBON Lomina,8552,1994-12-17,W,MHL,A,47.2,48 kg Women,0,1,293,56,58,60,60,74,78,80,80,140
2,2,2,OVIA Bea,11150,1998-05-06,W,PNG,A,47.35,48 kg Women,0,1,293,45,50,52,52,60,64,68,68,120
3,3,3,OVIA Gillian,9882,1996-09-27,W,PNG,A,46.7,48 kg Women,0,1,293,-43,-43,43,43,55,60,-63,60,103
